ID,Ngày tạo,Người tạo,Ngày sửa,Người sửa,Trạng thái,Số thứ tự,Nhãn hiệu,Nhãn Nhãn hiệu,Mã sản phẩm,Tên sản phẩm,Ngành hàng,Nhãn Ngành hàng,Nhà cung cấp,Nhãn Nhà cung cấp,ĐVT chẵn,Nhãn ĐVT chẵn,ĐVT lẻ,Nhãn ĐVT lẻ,Hệ số quy đổi,Cảnh báo tồn kho,Giá nhập,Giá nhập lẻ,Giá,Giá lẻ,VAT,Nhãn VAT,Mô tả,Hình ảnh,Ngày cập nhật,Khóa
681ed6fa76316b78116ffcf5,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,246,POSM,POSM,241000001,Áo cho DSP nữ dài tay,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcf6,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,247,POSM,POSM,241000003,Áo khoác mùa đông,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcf7,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,248,POSM,POSM,241000005,Áo sơ mi đồng phục Diligo nam,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcf8,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,249,POSM,POSM,241000006,Áo sơ mi đồng phục Diligo nữ,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcf9,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,250,POSM,POSM,241000011,"Áo SUP, ASM nữ",24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcfa,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,251,POSM,POSM,241000012,Áo thun đồng phục Diligo,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcfb,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,252,POSM,POSM,241000013,Băng keo có logo D&G,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcfc,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,253,POSM,POSM,241000014,Báo cáo bán hàng,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcfd,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,254,POSM,POSM,241000015,Bộ selling kit_USM,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
681ed6fa76316b78116ffcfe,10/05/2025,Đinh Tiến Dũng,01/07/2025,Đinh Tiến Dũng,,255,POSM,POSM,241000016,Booth,24,POSM,,,Cái,Cái,Cái,Cái,1,,0,0,0,0,0,0,,,,x
