CÔNG TY CỔ PHẦN DILIGO,,,,,,,,,,,,,,,,,,,,,,,
ĐT: (+84) 24 3795 5333 / 336,,,,,,,,,,,,,,,,,,,,,,,
"Đ/c: Tầng 2, Toà nhà N03T5, Khu Đoàn ngoại giao, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BÁO CÁO NHẬP XUẤT TỒN,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày : 01/09/2025         đến ngày : 30/09/2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã kho,Tên kho,Mã hàng,Tên hàng,ĐVT,Tồn đầu kỳ,,,,Nhập trong kỳ,,,,,Xuất trong kỳ,,,,,Tồn cuối kỳ,,,
,,,,,,Số lượng,SL chẵn,SL lẻ,Giá trị,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị nhập,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị bán,Số lượng,SL chẵn,SL lẻ,Giá trị
1.1,Kho CTY,Kho CTY,401000001,Túi zipper người lớn 60 que nhựa AZ1,Túi,-12,0,-12,"-53,460",0,0,0,0,0,0,0,0,0,0,-12,0,-12,"-53,460"
1.2,Kho CTY,Kho CTY,411000014,Bàn chải Lipzo GPro,Cái,-48,0,-48,"-1,475,568",0,0,0,0,0,0,0,0,0,0,-48,0,-48,"-1,475,568"
1.3,Kho CTY,Kho CTY,411000016,Bàn chải Lipzo Ruby Gold,Cái,-48,0,-48,"-1,335,264",0,0,0,0,0,0,0,0,0,0,-48,0,-48,"-1,335,264"
1.4,Kho CTY,Kho CTY,411000017,Bàn chải Lipzo WOW Gold,Cái,-65,0,-65,"-1,474,525",0,0,0,0,0,0,0,0,0,0,-65,0,-65,"-1,474,525"
1.5,Kho CTY,Kho CTY,411000105,Bàn chải cao cấp Procare,Cái,-48,0,-48,"-1,866,624",0,0,0,0,0,0,0,0,0,0,-48,0,-48,"-1,866,624"
1.6,Kho CTY,Kho CTY,411000106,Bàn chải cao cấp Sensitive,Cái,-96,0,-96,"-3,422,208",0,0,0,0,0,0,0,0,0,0,-96,0,-96,"-3,422,208"
Tổng cộng:,,,,,,-317,0,-317,"-9,627,649",0,0,0,0,0,0,0,0,0,0,-317,0,-317,"-9,627,649"
Tổng cộng:,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,Kho KM Test,Kho KM Test,401000001,Túi zipper người lớn 60 que nhựa AZ1,Túi,"9,995",0,"9,995","44,527,725",0,0,0,0,0,0,0,0,0,0,"9,995",0,"9,995","44,527,725"
3.2,Kho KM Test,Kho KM Test,401000002,Túi zipper người lớn 100 que nhựa AZ2,Túi,"9,999",0,"9,999","64,803,519",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","64,803,519"
3.3,Kho KM Test,Kho KM Test,401000003,Túi zipper người lớn 200 que nhựa AZ3,Túi,"9,999",0,"9,999","110,898,909",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","110,898,909"
3.4,Kho KM Test,Kho KM Test,401300008,Bông tẩy trang CZ2 khuyến mãi 30%,Túi,"9,999",0,"9,999","318,148,182",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","318,148,182"
3.5,Kho KM Test,Kho KM Test,411000005,Bàn chải Lipzo Ruby sensi,Cái,"9,999",0,"9,999","190,720,926",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","190,720,926"
3.6,Kho KM Test,Kho KM Test,411000105,Bàn chải cao cấp Procare,Cái,"9,999",0,"9,999","388,841,112",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","388,841,112"
3.7,Kho KM Test,Kho KM Test,411000106,Bàn chải cao cấp Sensitive,Cái,"9,999",0,"9,999","356,444,352",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","356,444,352"
Tổng cộng:,,,,,,"69,989",0,"69,989","1,474,384,725",0,0,0,0,0,0,0,0,0,0,"69,989",0,"69,989","1,474,384,725"
4.1,Kho Test,Kho Test,401000001,Túi zipper người lớn 60 que nhựa AZ1,Túi,"9,975",0,"9,975","44,438,625",0,0,0,0,0,0,0,0,0,0,"9,975",0,"9,975","44,438,625"
4.2,Kho Test,Kho Test,401000002,Túi zipper người lớn 100 que nhựa AZ2,Túi,"9,998",0,"9,998","64,797,038",0,0,0,0,0,0,0,0,0,0,"9,998",0,"9,998","64,797,038"
4.3,Kho Test,Kho Test,401000003,Túi zipper người lớn 200 que nhựa AZ3,Túi,"9,998",0,"9,998","110,887,818",0,0,0,0,0,0,0,0,0,0,"9,998",0,"9,998","110,887,818"
4.4,Kho Test,Kho Test,401300007,Bông tẩy trang tròn CZ2,Túi,"9,999",0,"9,999","318,148,182",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","318,148,182"
